context_length,trial,softmax_proxy_degree,context_l2_error,context_linf_error
4,0,2,0.06023679432831544,0.02946717103137053
4,0,3,0.016655790971114692,0.007959026398273533
4,1,2,0.0020626426206704763,0.000874750713415251
4,1,3,0.00020176411672584947,8.698913464866287e-05
4,2,2,0.0013592626053748962,0.0006373195118415317
4,2,3,5.982981464933626e-05,3.630977335758456e-05
8,0,2,0.0844870133677452,0.04031999087253238
8,0,3,0.013029399506653914,0.008457999874930788
8,1,2,0.0025073046965574056,0.0013176320808026207
8,1,3,0.00019598598405423862,0.00010214695887089675
8,2,2,0.02983183692057662,0.022134854980101787
8,2,3,0.007179813814556595,0.005316936288321444
16,0,2,0.03672177218182878,0.017955740666713495
16,0,3,0.0078301694041845,0.0040761007976887476
16,1,2,0.005293777091177594,0.0028327063189844126
16,1,3,0.0004969344625661031,0.00025646058194646326
16,2,2,0.01774846846326954,0.01289175908761886
16,2,3,0.004210569366950297,0.003056772838462174
32,0,2,0.013402429979239277,0.006916772670013539
32,0,3,0.002707416548359728,0.0010678974257029017
32,1,2,0.0031293432491203295,0.001773924419234657
32,1,3,0.0002885644857801275,0.00015856237596177658
32,2,2,0.011017951302177807,0.008046092599656718
32,2,3,0.002422998142139955,0.0017600674070306077
