context_length,packing,block_size,end_to_end_ms_mean,end_to_end_ms_std,compute_ms_mean,encrypt_ms_mean,decrypt_ms_mean,ciphertext_mb_mean,cache_ciphertexts_mean,ct_ct_mul_ops_mean,slot_sum_ops_mean,mask_mul_ops_mean,score_l2_error_mean,score_linf_error_mean,score_mean_abs_error_mean
4,block-wise,2,16.90700054168701,0.2454872534118985,9.764930725097656,6.498499751091003,0.643570065498352,1.3368863333333332,2.0,2.0,4.0,4.0,2.908187398247616e-06,1.6578536062109943e-06,1.4374767909805057e-06
4,block-wise,4,13.55120841662089,0.12868341350571177,9.619860887527466,3.2886669635772705,0.6426805655161539,0.668573,1.0,1.0,4.0,4.0,2.0344643339769092e-06,1.2226086708311268e-06,9.938114718885855e-07
4,block-wise,8,13.537833531697592,0.02909209318444208,9.598819732666016,3.2939027547836304,0.6451110442479452,0.6682893333333334,1.0,1.0,4.0,4.0,2.0521775845268427e-06,1.2662554056130926e-06,1.001862719353606e-06
4,token-wise,1,23.67117929458618,0.5240015405701985,14.037374456723532,8.358444015185038,1.2753608226776123,1.6716433333333331,4.0,4.0,4.0,0.0,2.3969800195604094e-06,1.2347919803312735e-06,1.1979952881183604e-06
8,block-wise,2,34.06205383936564,0.05678261926639065,19.63667968908946,13.15384578704834,1.2715283632278442,2.674462,4.0,4.0,8.0,8.0,4.062299402663657e-06,1.8810631159012676e-06,1.3909457549138218e-06
8,block-wise,4,27.153457919756573,0.14726250373692085,19.25993088881175,6.601291219393413,1.2922358115514119,1.33704,2.0,2.0,8.0,8.0,2.9261501681299676e-06,1.4998188907118977e-06,9.6604660157544e-07
8,block-wise,8,24.983972589174908,0.09169609475290794,20.376612464586895,3.3030970891316733,1.3042630354563396,0.6686873333333334,1.0,1.0,8.0,8.0,3.0503535902960817e-06,1.4983183681723429e-06,1.0132551447497773e-06
8,token-wise,1,45.20204250017802,0.21812438480159746,27.860430598258972,14.80416719118754,2.5374447107315063,3.0086376666666665,8.0,8.0,8.0,0.0,3.3917301318397893e-06,1.2788289248481337e-06,1.1972294021914342e-06
16,block-wise,2,67.73625167210896,0.27601426762641135,38.914056619008385,26.267249306042988,2.5549457470575967,5.348672333333333,8.0,8.0,16.0,16.0,5.6554560860396e-06,1.927587065223927e-06,1.3744058837857099e-06
16,block-wise,4,54.30247255166372,0.14693127185789384,38.48497295379639,13.247763196627298,2.5697364012400308,2.6743446666666664,4.0,4.0,16.0,16.0,3.9679017925208985e-06,1.4953818208614706e-06,9.408323286442315e-07
16,block-wise,8,49.83591584364573,0.10379789876728104,40.65391647815704,6.583569844563802,2.598429520924886,1.3372456666666668,2.0,2.0,16.0,16.0,4.28308708401351e-06,1.541454450804114e-06,1.0161582204647028e-06
16,token-wise,1,88.70076374212901,0.17073067600298303,55.5558629433314,28.045970916748047,5.0989298820495605,5.683495666666667,16.0,16.0,16.0,0.0,4.7835008185184505e-06,1.2981300657466388e-06,1.194237561124714e-06
32,block-wise,2,136.913010597229,0.7124387383081063,78.66904079914093,53.1178457736969,5.126124024391174,10.696562666666667,16.0,16.0,32.0,32.0,7.87273486793781e-06,1.9913425969667977e-06,1.3543101032591845e-06
32,block-wise,4,109.36519308884938,0.442988239335093,77.60408480962117,26.57708203792572,5.18402624130249,5.348465666666667,8.0,8.0,32.0,32.0,5.570490523258644e-06,1.6090020972988246e-06,9.298585795633184e-07
32,block-wise,8,100.41849879423778,0.08041728484509336,81.86768047014873,13.308694005012512,5.242124319076538,2.6743373333333333,4.0,4.0,32.0,32.0,5.877594065119937e-06,1.6939856954945043e-06,9.868223848803985e-07
32,token-wise,1,177.23698465029398,0.8952232022653754,112.19098615646362,54.66333246231079,10.382666031519571,11.031529666666666,32.0,32.0,32.0,0.0,6.731906810031061e-06,1.3026813963460764e-06,1.188772706986668e-06
