context_length,trial,packing,block_size,d_head,poly_modulus_degree,slots,modulus_chain_bits,global_scale_bits,encrypt_ms,compute_ms,decrypt_ms,serialize_ms,end_to_end_ms,ciphertext_bytes,cache_ciphertexts,query_ciphertexts,score_ciphertexts,ct_ct_mul_ops,slot_sum_ops,mask_mul_ops,score_l2_error,score_linf_error,score_mean_abs_error
4,0,token-wise,1,32,8192,4096,200,40,9.57287609577179,16.68208420276642,1.3325408697128296,7.526415705680847,27.587501168251038,1671029.0,4.0,1.0,4.0,4.0,4.0,0.0,4.679333633139463e-06,2.4051986644568757e-06,2.3391854278992374e-06
4,0,block-wise,2,32,8192,4096,200,40,6.439751148223877,10.998375058174133,0.6655830144882202,4.1034581661224365,18.10370922088623,1336908.0,2.0,2.0,4.0,2.0,4.0,4.0,4.302075145736026e-06,2.5255207006802394e-06,2.1373055270057506e-06
4,0,block-wise,4,32,8192,4096,200,40,3.296416997909546,10.79154098033905,0.652540922164917,2.0537079572677612,14.740498900413513,668429.0,1.0,1.0,4.0,1.0,4.0,4.0,3.2950851129049135e-06,2.051097668154256e-06,1.6267781695611383e-06
4,1,token-wise,1,32,8192,4096,200,40,8.116249084472656,16.028082966804504,1.2854589223861694,5.320873975753784,25.42979097366333,1671350.0,4.0,1.0,4.0,4.0,4.0,0.0,5.000829827445193e-06,2.630748203946709e-06,2.4973880780321256e-06
4,1,block-wise,2,32,8192,4096,200,40,6.541750192642212,10.884541988372803,0.6326249837875366,3.932291269302368,18.05891716480255,1336285.0,2.0,2.0,4.0,2.0,4.0,4.0,6.223911336319544e-06,3.918645230971407e-06,3.0343601747293003e-06
4,1,block-wise,4,32,8192,4096,200,40,3.141083002090454,10.77704107761383,0.6412498950958252,1.3974168300628662,14.55937397480011,667771.0,1.0,1.0,4.0,1.0,4.0,4.0,5.266846482670969e-06,3.398571042589893e-06,2.535450878311807e-06
8,0,token-wise,1,32,8192,4096,200,40,14.325792670249939,31.970000982284546,2.565291166305542,10.349875092506409,48.86108481884003,3009048.0,8.0,1.0,8.0,8.0,8.0,0.0,6.776642407662913e-06,2.5052265425484777e-06,2.394922867299254e-06
8,0,block-wise,2,32,8192,4096,200,40,13.099790096282959,21.680083990097046,1.2958321571350098,8.654499888420105,36.075706243515015,2673061.0,4.0,4.0,8.0,4.0,8.0,8.0,6.625660883157418e-06,2.805362452007465e-06,2.317918521763801e-06
8,0,block-wise,4,32,8192,4096,200,40,6.460917115211487,21.68370819091797,1.3013321161270142,3.012584090232849,29.44595742225647,1335387.0,2.0,2.0,8.0,2.0,8.0,8.0,5.36786615028723e-06,2.5353779425918432e-06,1.8619031215139081e-06
8,1,token-wise,1,32,8192,4096,200,40,14.645499587059021,32.359957337379456,2.5822901725769043,10.5430006980896,49.58774709701538,3009146.0,8.0,1.0,8.0,8.0,8.0,0.0,6.837221110887288e-06,2.6328163242883562e-06,2.4140684885044263e-06
8,1,block-wise,2,32,8192,4096,200,40,13.01666784286499,21.520166993141174,1.2889602184295654,8.329042315483093,35.82579505443573,2674921.0,4.0,4.0,8.0,4.0,8.0,8.0,7.5559973963458135e-06,3.818071930172806e-06,2.57509149481595e-06
8,1,block-wise,4,32,8192,4096,200,40,6.571707010269165,21.575332164764404,1.2949990034103394,4.52208411693573,29.44203817844391,1337517.0,2.0,2.0,8.0,2.0,8.0,8.0,6.296761736693713e-06,3.372169579130002e-06,2.1108662359597442e-06
16,0,token-wise,1,32,8192,4096,200,40,28.286330819129944,65.50999879837036,5.272208333015442,18.234664797782898,99.06853795051575,5682769.0,16.0,1.0,16.0,16.0,16.0,0.0,9.612457543261063e-06,2.604552534091198e-06,2.401501400153567e-06
16,0,block-wise,2,32,8192,4096,200,40,26.799624919891357,44.82737183570862,2.6784157752990723,19.289622902870178,74.30541253089905,5349380.0,8.0,8.0,16.0,8.0,16.0,16.0,9.680688107929073e-06,3.339332806051587e-06,2.378269794424577e-06
16,0,block-wise,4,32,8192,4096,200,40,13.160374164581299,43.59821021556854,2.618001103401184,8.89504086971283,59.376585483551025,2674346.0,4.0,4.0,16.0,4.0,16.0,16.0,7.94877781360096e-06,2.879418772527842e-06,1.931189731550504e-06
16,1,token-wise,1,32,8192,4096,200,40,29.28266215324402,67.53379261493683,5.382039189338684,19.2223778963089,102.19849395751953,5681639.0,16.0,1.0,16.0,16.0,16.0,0.0,9.615072699134041e-06,2.6545697549007485e-06,2.4013579400309877e-06
16,1,block-wise,2,32,8192,4096,200,40,26.73120665550232,44.361708998680115,2.6676257848739624,18.413707494735718,73.7605414390564,5348504.0,8.0,8.0,16.0,8.0,16.0,16.0,9.693609642547818e-06,3.793035368904185e-06,2.3414064227497266e-06
16,1,block-wise,4,32,8192,4096,200,40,13.04141628742218,43.31683337688446,2.6002111434936523,8.403375387191772,58.95846080780029,2674840.0,4.0,4.0,16.0,4.0,16.0,16.0,8.01679701383983e-06,3.350913084343432e-06,1.9069327926477886e-06
